time	I(C1)
0.000000000000000e+000	0.000000e+000
1.006310719994777e-003	0.000000e+000
2.030310719994708e-003	0.000000e+000
3.054310719994844e-003	0.000000e+000
4.078310719994979e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000001428571429e-003	1.020408e-001
5.000002857142858e-003	2.040815e-001
5.000004285714286e-003	3.061221e-001
5.000005714285714e-003	4.081627e-001
5.000007142857143e-003	5.102032e-001
5.000008571428571e-003	6.122436e-001
5.000010000000000e-003	7.142840e-001
5.060159276693119e-003	6.941154e-001
5.206302133835996e-003	6.479280e-001
5.352444990978872e-003	6.043904e-001
5.498587848121748e-003	5.635027e-001
5.644730705264625e-003	5.252648e-001
5.790873562407502e-003	4.896767e-001
5.937016419550379e-003	4.567385e-001
6.083159276693255e-003	4.264501e-001
6.084159276693255e-003	4.262471e-001
6.230302133836132e-003	3.978840e-001
6.376444990979008e-003	3.711482e-001
6.522587848121884e-003	3.460395e-001
6.668730705264761e-003	3.225582e-001
6.814873562407638e-003	3.007040e-001
6.961016419550515e-003	2.804771e-001
7.107159276693391e-003	2.618774e-001
7.108159276693391e-003	2.617527e-001
7.254302133836228e-003	2.443353e-001
7.400444990979065e-003	2.279172e-001
7.546587848121902e-003	2.124983e-001
7.692730705264739e-003	1.980787e-001
7.838873562407577e-003	1.846584e-001
7.985016419550413e-003	1.722373e-001
8.131159276693251e-003	1.608154e-001
8.132159276693250e-003	1.607389e-001
8.278302133835999e-003	1.500431e-001
8.424444990978750e-003	1.399609e-001
8.570587848121499e-003	1.304924e-001
8.716730705264249e-003	1.216375e-001
8.862873562407000e-003	1.133962e-001
9.009016419549749e-003	1.057686e-001
9.155159276692498e-003	9.875461e-002
9.156159276692498e-003	9.870760e-002
9.302302133835247e-003	9.213946e-002
9.448444990977998e-003	8.594815e-002
9.594587848120747e-003	8.013365e-002
9.740730705263496e-003	7.469598e-002
9.886873562406248e-003	6.963513e-002
1.003301641954900e-002	6.495111e-002
1.017915927669175e-002	6.064390e-002
1.018015927669175e-002	6.061503e-002
1.032630213383450e-002	5.658163e-002
1.047244499097725e-002	5.277962e-002
1.061858784812000e-002	4.920902e-002
1.076473070526274e-002	4.586981e-002
1.091087356240550e-002	4.276201e-002
1.105701641954824e-002	3.988561e-002
1.120315927669099e-002	3.724062e-002
1.120415927669099e-002	3.722289e-002
1.135030213383374e-002	3.474603e-002
1.149644499097649e-002	3.241127e-002
1.164258784811924e-002	3.021860e-002
1.178873070526199e-002	2.816804e-002
1.193487356240474e-002	2.625958e-002
1.208101641954749e-002	2.449323e-002
1.222715927669024e-002	2.286897e-002
1.222815927669024e-002	2.285808e-002
1.237430213383299e-002	2.133707e-002
1.252044499097574e-002	1.990333e-002
1.266658784811849e-002	1.855684e-002
1.281273070526124e-002	1.729762e-002
1.295887356240399e-002	1.612566e-002
1.310501641954674e-002	1.504097e-002
1.325115927668949e-002	1.404353e-002
1.325215927668949e-002	1.403685e-002
1.339830213383224e-002	1.310281e-002
1.354444499097499e-002	1.222237e-002
1.369058784811774e-002	1.139551e-002
1.383673070526049e-002	1.062224e-002
1.398287356240324e-002	9.902556e-003
1.412901641954599e-002	9.236459e-003
1.427515927668874e-002	8.623947e-003
1.427615927668874e-002	8.619841e-003
1.442230213383149e-002	8.046265e-003
1.456844499097424e-002	7.505596e-003
1.471458784811699e-002	6.997833e-003
1.486073070525974e-002	6.522978e-003
1.500687356240249e-002	6.081029e-003
1.515301641954524e-002	5.671987e-003
1.529915927668799e-002	5.295852e-003
1.530015927668798e-002	5.293330e-003
1.544630213383091e-002	4.941105e-003
1.559244499097383e-002	4.609087e-003
1.573858784811675e-002	4.297277e-003
1.588473070525968e-002	4.005675e-003
1.603087356240260e-002	3.734280e-003
1.617701641954552e-002	3.483092e-003
1.632315927668844e-002	3.252113e-003
1.632415927668844e-002	3.250564e-003
1.647030213383145e-002	3.034267e-003
1.661644499097445e-002	2.830379e-003
1.676258784811745e-002	2.638901e-003
1.690873070526046e-002	2.459831e-003
1.705487356240346e-002	2.293171e-003
1.720101641954646e-002	2.138921e-003
1.734715927668947e-002	1.997079e-003
1.734815927668947e-002	1.996128e-003
1.749430213383247e-002	1.863303e-003
1.764044499097547e-002	1.738099e-003
1.778658784811848e-002	1.620514e-003
1.793273070526148e-002	1.510550e-003
1.807887356240449e-002	1.408206e-003
1.822501641954749e-002	1.313483e-003
1.837115927669049e-002	1.226380e-003
1.837215927669049e-002	1.225796e-003
1.851830213383350e-002	1.144230e-003
1.866444499097650e-002	1.067343e-003
1.881058784811950e-002	9.951362e-004
1.895673070526251e-002	9.276087e-004
1.910287356240551e-002	8.647608e-004
1.924901641954851e-002	8.065924e-004
1.939515927669152e-002	7.531036e-004
1.939615927669152e-002	7.527451e-004
1.954230213383452e-002	7.026564e-004
1.968844499097752e-002	6.554414e-004
1.983458784812053e-002	6.111000e-004
1.998073070526353e-002	5.696323e-004
2.012687356240654e-002	5.310382e-004
2.027301641954954e-002	4.953178e-004
2.041915927669254e-002	4.624710e-004
2.042015927669254e-002	4.622508e-004
2.056630213383555e-002	4.314920e-004
2.071244499097855e-002	4.024979e-004
2.085858784812155e-002	3.752684e-004
2.100473070526455e-002	3.498036e-004
2.115087356240756e-002	3.261035e-004
2.129701641955056e-002	3.041681e-004
2.144315927669356e-002	2.839973e-004
2.144415927669357e-002	2.838621e-004
2.159030213383657e-002	2.649735e-004
2.173644499097957e-002	2.471686e-004
2.188258784812257e-002	2.304474e-004
2.202873070526558e-002	2.148098e-004
2.217487356240858e-002	2.002558e-004
2.232101641955158e-002	1.867856e-004
2.246715927669459e-002	1.743990e-004
2.246815927669459e-002	1.743160e-004
2.261430213383759e-002	1.627167e-004
2.276044499098059e-002	1.517830e-004
2.290658784812360e-002	1.415147e-004
2.305273070526660e-002	1.319118e-004
2.319887356240961e-002	1.229745e-004
2.334501641955261e-002	1.147026e-004
2.349115927669561e-002	1.070961e-004
2.349215927669561e-002	1.070451e-004
2.363830213383862e-002	9.992219e-005
2.378444499098162e-002	9.320792e-005
2.393058784812462e-002	8.690229e-005
2.407673070526763e-002	8.100531e-005
2.422287356241063e-002	7.551699e-005
2.436901641955363e-002	7.043732e-005
2.451515927669664e-002	6.576630e-005
2.451615927669664e-002	6.573499e-005
2.458501641955385e-002	6.361980e-005
2.465387356241106e-002	6.156770e-005
2.472273070526827e-002	5.957869e-005
2.479158784812548e-002	5.765277e-005
2.486044499098269e-002	5.578994e-005
2.492930213383991e-002	5.399019e-005
2.499815927669712e-002	5.225354e-005
2.499915927669712e-002	5.222866e-005
2.500000000000000e-002	5.220775e-005
