time	I(L1)
0.000000000000000e+000	0.000000e+000
1.006310719994777e-003	0.000000e+000
2.030310719994708e-003	0.000000e+000
3.054310719994844e-003	0.000000e+000
4.078310719994979e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000001428571429e-003	1.552827e-009
5.000002857142858e-003	5.234089e-009
5.000004285714286e-003	1.104379e-008
5.000005714285714e-003	1.898192e-008
5.000007142857143e-003	2.904849e-008
5.000008571428571e-003	4.124349e-008
5.000010000000000e-003	5.556693e-008
5.060159276693119e-003	6.681128e-004
5.206302133835996e-003	2.289025e-003
5.352444990978872e-003	3.906796e-003
5.498587848121748e-003	5.521427e-003
5.644730705264625e-003	7.132917e-003
5.790873562407502e-003	8.741267e-003
5.937016419550379e-003	1.034648e-002
6.083159276693255e-003	1.194854e-002
6.084159276693255e-003	1.195950e-002
6.230302133836132e-003	1.355842e-002
6.376444990979008e-003	1.515425e-002
6.522587848121884e-003	1.674699e-002
6.668730705264761e-003	1.833662e-002
6.814873562407638e-003	1.992316e-002
6.961016419550515e-003	2.150659e-002
7.107159276693391e-003	2.308693e-002
7.108159276693391e-003	2.309774e-002
7.254302133836228e-003	2.467498e-002
7.400444990979065e-003	2.624917e-002
7.546587848121902e-003	2.782030e-002
7.692730705264739e-003	2.938837e-002
7.838873562407577e-003	3.095339e-002
7.985016419550413e-003	3.251535e-002
8.131159276693251e-003	3.407425e-002
8.132159276693250e-003	3.408491e-002
8.278302133835999e-003	3.564076e-002
8.424444990978750e-003	3.719360e-002
8.570587848121499e-003	3.874342e-002
8.716730705264249e-003	4.029022e-002
8.862873562407000e-003	4.183402e-002
9.009016419549749e-003	4.337479e-002
9.155159276692498e-003	4.491256e-002
9.156159276692498e-003	4.492307e-002
9.302302133835247e-003	4.645782e-002
9.448444990977998e-003	4.798959e-002
9.594587848120747e-003	4.951840e-002
9.740730705263496e-003	5.104422e-002
9.886873562406248e-003	5.256708e-002
1.003301641954900e-002	5.408696e-002
1.017915927669175e-002	5.560386e-002
1.018015927669175e-002	5.561423e-002
1.032630213383450e-002	5.712817e-002
1.047244499097725e-002	5.863917e-002
1.061858784812000e-002	6.014723e-002
1.076473070526274e-002	6.165237e-002
1.091087356240550e-002	6.315457e-002
1.105701641954824e-002	6.465383e-002
1.120315927669099e-002	6.615017e-002
1.120415927669099e-002	6.616040e-002
1.135030213383374e-002	6.765379e-002
1.149644499097649e-002	6.914430e-002
1.164258784811924e-002	7.063191e-002
1.178873070526199e-002	7.211663e-002
1.193487356240474e-002	7.359846e-002
1.208101641954749e-002	7.507739e-002
1.222715927669024e-002	7.655343e-002
1.222815927669024e-002	7.656352e-002
1.237430213383299e-002	7.803667e-002
1.252044499097574e-002	7.950695e-002
1.266658784811849e-002	8.097439e-002
1.281273070526124e-002	8.243897e-002
1.295887356240399e-002	8.390070e-002
1.310501641954674e-002	8.535957e-002
1.325115927668949e-002	8.681560e-002
1.325215927668949e-002	8.682555e-002
1.339830213383224e-002	8.827871e-002
1.354444499097499e-002	8.972906e-002
1.369058784811774e-002	9.117659e-002
1.383673070526049e-002	9.262131e-002
1.398287356240324e-002	9.406322e-002
1.412901641954599e-002	9.550231e-002
1.427515927668874e-002	9.693858e-002
1.427615927668874e-002	9.694839e-002
1.442230213383149e-002	9.838185e-002
1.456844499097424e-002	9.981253e-002
1.471458784811699e-002	1.012404e-001
1.486073070525974e-002	1.026656e-001
1.500687356240249e-002	1.040879e-001
1.515301641954524e-002	1.055075e-001
1.529915927668799e-002	1.069243e-001
1.530015927668798e-002	1.069340e-001
1.544630213383091e-002	1.083480e-001
1.559244499097383e-002	1.097592e-001
1.573858784811675e-002	1.111678e-001
1.588473070525968e-002	1.125736e-001
1.603087356240260e-002	1.139766e-001
1.617701641954552e-002	1.153769e-001
1.632315927668844e-002	1.167745e-001
1.632415927668844e-002	1.167841e-001
1.647030213383145e-002	1.181789e-001
1.661644499097445e-002	1.195710e-001
1.676258784811745e-002	1.209605e-001
1.690873070526046e-002	1.223472e-001
1.705487356240346e-002	1.237312e-001
1.720101641954646e-002	1.251126e-001
1.734715927668947e-002	1.264912e-001
1.734815927668947e-002	1.265006e-001
1.749430213383247e-002	1.278765e-001
1.764044499097547e-002	1.292498e-001
1.778658784811848e-002	1.306204e-001
1.793273070526148e-002	1.319883e-001
1.807887356240449e-002	1.333535e-001
1.822501641954749e-002	1.347161e-001
1.837115927669049e-002	1.360760e-001
1.837215927669049e-002	1.360853e-001
1.851830213383350e-002	1.374426e-001
1.866444499097650e-002	1.387972e-001
1.881058784811950e-002	1.401492e-001
1.895673070526251e-002	1.414986e-001
1.910287356240551e-002	1.428453e-001
1.924901641954851e-002	1.441894e-001
1.939515927669152e-002	1.455309e-001
1.939615927669152e-002	1.455401e-001
1.954230213383452e-002	1.468789e-001
1.968844499097752e-002	1.482152e-001
1.983458784812053e-002	1.495489e-001
1.998073070526353e-002	1.508799e-001
2.012687356240654e-002	1.522084e-001
2.027301641954954e-002	1.535343e-001
2.041915927669254e-002	1.548576e-001
2.042015927669254e-002	1.548666e-001
2.056630213383555e-002	1.561873e-001
2.071244499097855e-002	1.575054e-001
2.085858784812155e-002	1.588210e-001
2.100473070526455e-002	1.601340e-001
2.115087356240756e-002	1.614445e-001
2.129701641955056e-002	1.627524e-001
2.144315927669356e-002	1.640577e-001
2.144415927669357e-002	1.640666e-001
2.159030213383657e-002	1.653694e-001
2.173644499097957e-002	1.666697e-001
2.188258784812257e-002	1.679674e-001
2.202873070526558e-002	1.692626e-001
2.217487356240858e-002	1.705553e-001
2.232101641955158e-002	1.718454e-001
2.246715927669459e-002	1.731331e-001
2.246815927669459e-002	1.731419e-001
2.261430213383759e-002	1.744270e-001
2.276044499098059e-002	1.757096e-001
2.290658784812360e-002	1.769897e-001
2.305273070526660e-002	1.782674e-001
2.319887356240961e-002	1.795425e-001
2.334501641955261e-002	1.808152e-001
2.349115927669561e-002	1.820854e-001
2.349215927669561e-002	1.820940e-001
2.363830213383862e-002	1.833617e-001
2.378444499098162e-002	1.846269e-001
2.393058784812462e-002	1.858897e-001
2.407673070526763e-002	1.871500e-001
2.422287356241063e-002	1.884079e-001
2.436901641955363e-002	1.896633e-001
2.451515927669664e-002	1.909162e-001
2.451615927669664e-002	1.909248e-001
2.466230213383964e-002	1.921752e-001
2.480844499098264e-002	1.934233e-001
2.495458784812565e-002	1.946690e-001
2.510073070526865e-002	1.959122e-001
2.524687356241166e-002	1.971530e-001
2.539301641955466e-002	1.983913e-001
2.553915927669766e-002	1.996273e-001
2.554015927669766e-002	1.996357e-001
2.568630213384067e-002	2.008693e-001
2.583244499098367e-002	2.021004e-001
2.597858784812667e-002	2.033292e-001
2.612473070526968e-002	2.045555e-001
2.627087356241268e-002	2.057795e-001
2.641701641955568e-002	2.070010e-001
2.656315927669868e-002	2.082202e-001
2.656415927669869e-002	2.082286e-001
2.671030213384169e-002	2.094454e-001
2.685644499098469e-002	2.106598e-001
2.700258784812770e-002	2.118719e-001
2.714873070527070e-002	2.130816e-001
2.729487356241370e-002	2.142890e-001
2.744101641955670e-002	2.154940e-001
2.758715927669971e-002	2.166966e-001
2.758815927669971e-002	2.167048e-001
2.773430213384271e-002	2.179051e-001
2.788044499098571e-002	2.191031e-001
2.802658784812872e-002	2.202987e-001
2.817273070527172e-002	2.214921e-001
2.831887356241473e-002	2.226831e-001
2.846501641955773e-002	2.238717e-001
2.861115927670073e-002	2.250581e-001
2.861215927670073e-002	2.250662e-001
2.875830213384374e-002	2.262502e-001
2.890444499098674e-002	2.274319e-001
2.905058784812974e-002	2.286113e-001
2.919673070527275e-002	2.297885e-001
2.934287356241575e-002	2.309633e-001
2.948901641955875e-002	2.321358e-001
2.963515927670176e-002	2.333061e-001
2.963615927670176e-002	2.333141e-001
2.978230213384476e-002	2.344821e-001
2.992844499098776e-002	2.356477e-001
3.007458784813077e-002	2.368112e-001
3.022073070527377e-002	2.379723e-001
3.036687356241678e-002	2.391312e-001
3.051301641955978e-002	2.402879e-001
3.065915927670278e-002	2.414422e-001
3.066015927670278e-002	2.414501e-001
3.080630213384579e-002	2.426023e-001
3.095244499098879e-002	2.437521e-001
3.109858784813179e-002	2.448998e-001
3.124473070527479e-002	2.460452e-001
3.139087356241779e-002	2.471884e-001
3.153701641956080e-002	2.483293e-001
3.168315927670380e-002	2.494681e-001
3.168415927670380e-002	2.494759e-001
3.183030213384681e-002	2.506123e-001
3.197644499098981e-002	2.517466e-001
3.212258784813282e-002	2.528787e-001
3.226873070527581e-002	2.540086e-001
3.241487356241882e-002	2.551363e-001
3.256101641956182e-002	2.562617e-001
3.270715927670483e-002	2.573850e-001
3.270815927670483e-002	2.573927e-001
3.285430213384783e-002	2.585138e-001
3.300044499099084e-002	2.596327e-001
3.314658784813384e-002	2.607494e-001
3.329273070527684e-002	2.618640e-001
3.343887356241984e-002	2.629764e-001
3.358501641956285e-002	2.640866e-001
3.373115927670585e-002	2.651946e-001
3.373215927670585e-002	2.652022e-001
3.387830213384886e-002	2.663081e-001
3.402444499099186e-002	2.674118e-001
3.417058784813486e-002	2.685134e-001
3.431673070527786e-002	2.696128e-001
3.446287356242087e-002	2.707101e-001
3.460901641956387e-002	2.718053e-001
3.475515927670687e-002	2.728983e-001
3.475615927670687e-002	2.729057e-001
3.490230213384988e-002	2.739966e-001
3.504844499099288e-002	2.750854e-001
3.519458784813589e-002	2.761720e-001
3.534073070527889e-002	2.772566e-001
3.548687356242189e-002	2.783390e-001
3.563301641956489e-002	2.794193e-001
3.577915927670790e-002	2.804975e-001
3.578015927670790e-002	2.805048e-001
3.592630213385090e-002	2.815809e-001
3.607244499099391e-002	2.826549e-001
3.621858784813691e-002	2.837268e-001
3.636473070527991e-002	2.847966e-001
3.651087356242291e-002	2.858644e-001
3.665701641956592e-002	2.869300e-001
