time	V(A,B)
0.000000000000000e+000	0.000000e+000
1.006310719994777e-003	0.000000e+000
2.030310719994708e-003	0.000000e+000
3.054310719994844e-003	0.000000e+000
4.078310719994979e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000001428571429e-003	3.016725e-007
5.000002857142858e-003	1.070451e-006
5.000004285714286e-003	2.306335e-006
5.000005714285714e-003	4.009325e-006
5.000007142857143e-003	6.179420e-006
5.000008571428571e-003	8.816622e-006
5.000010000000000e-003	1.192093e-005
5.060159276693119e-003	1.411924e-001
5.206302133835996e-003	4.645042e-001
5.352444990978872e-003	7.692672e-001
5.498587848121748e-003	1.055481e+000
5.644730705264625e-003	1.323147e+000
5.790873562407502e-003	1.572263e+000
5.937016419550379e-003	1.802830e+000
6.083159276693255e-003	2.014849e+000
6.084159276693255e-003	2.016270e+000
6.230302133836132e-003	2.214812e+000
6.376444990979008e-003	2.401963e+000
6.522587848121884e-003	2.577723e+000
6.668730705264761e-003	2.742093e+000
6.814873562407638e-003	2.895072e+000
6.961016419550515e-003	3.036661e+000
7.107159276693391e-003	3.166859e+000
7.108159276693391e-003	3.167731e+000
7.254302133836228e-003	3.289653e+000
7.400444990979065e-003	3.404580e+000
7.546587848121902e-003	3.512512e+000
7.692730705264739e-003	3.613449e+000
7.838873562407577e-003	3.707392e+000
7.985016419550413e-003	3.794339e+000
8.131159276693251e-003	3.874292e+000
8.132159276693250e-003	3.874828e+000
8.278302133835999e-003	3.949698e+000
8.424444990978750e-003	4.020274e+000
8.570587848121499e-003	4.086553e+000
8.716730705264249e-003	4.148537e+000
8.862873562407000e-003	4.206226e+000
9.009016419549749e-003	4.259620e+000
9.155159276692498e-003	4.308718e+000
9.156159276692498e-003	4.309047e+000
9.302302133835247e-003	4.355024e+000
9.448444990977998e-003	4.398363e+000
9.594587848120747e-003	4.439064e+000
9.740730705263496e-003	4.477128e+000
9.886873562406248e-003	4.512554e+000
1.003301641954900e-002	4.545342e+000
1.017915927669175e-002	4.575493e+000
1.018015927669175e-002	4.575695e+000
1.032630213383450e-002	4.603929e+000
1.047244499097725e-002	4.630543e+000
1.061858784812000e-002	4.655537e+000
1.076473070526274e-002	4.678911e+000
1.091087356240550e-002	4.700666e+000
1.105701641954824e-002	4.720801e+000
1.120315927669099e-002	4.739316e+000
1.120415927669099e-002	4.739440e+000
1.135030213383374e-002	4.756778e+000
1.149644499097649e-002	4.773121e+000
1.164258784811924e-002	4.788470e+000
1.178873070526199e-002	4.802824e+000
1.193487356240474e-002	4.816183e+000
1.208101641954749e-002	4.828547e+000
1.222715927669024e-002	4.839917e+000
1.222815927669024e-002	4.839993e+000
1.237430213383299e-002	4.850640e+000
1.252044499097574e-002	4.860677e+000
1.266658784811849e-002	4.870102e+000
1.281273070526124e-002	4.878917e+000
1.295887356240399e-002	4.887120e+000
1.310501641954674e-002	4.894713e+000
1.325115927668949e-002	4.901695e+000
1.325215927668949e-002	4.901742e+000
1.339830213383224e-002	4.908280e+000
1.354444499097499e-002	4.914443e+000
1.369058784811774e-002	4.920231e+000
1.383673070526049e-002	4.925644e+000
1.398287356240324e-002	4.930682e+000
1.412901641954599e-002	4.935345e+000
1.427515927668874e-002	4.939632e+000
1.427615927668874e-002	4.939661e+000
1.442230213383149e-002	4.943676e+000
1.456844499097424e-002	4.947461e+000
1.471458784811699e-002	4.951015e+000
1.486073070525974e-002	4.954339e+000
1.500687356240249e-002	4.957433e+000
1.515301641954524e-002	4.960296e+000
1.529915927668799e-002	4.962929e+000
1.530015927668798e-002	4.962947e+000
1.544630213383091e-002	4.965412e+000
1.559244499097383e-002	4.967736e+000
1.573858784811675e-002	4.969919e+000
1.588473070525968e-002	4.971960e+000
1.603087356240260e-002	4.973860e+000
1.617701641954552e-002	4.975618e+000
1.632315927668844e-002	4.977235e+000
1.632415927668844e-002	4.977246e+000
1.647030213383145e-002	4.978760e+000
1.661644499097445e-002	4.980187e+000
1.676258784811745e-002	4.981528e+000
1.690873070526046e-002	4.982781e+000
1.705487356240346e-002	4.983948e+000
1.720101641954646e-002	4.985028e+000
1.734715927668947e-002	4.986020e+000
1.734815927668947e-002	4.986027e+000
1.749430213383247e-002	4.986957e+000
1.764044499097547e-002	4.987833e+000
1.778658784811848e-002	4.988656e+000
1.793273070526148e-002	4.989426e+000
1.807887356240449e-002	4.990143e+000
1.822501641954749e-002	4.990806e+000
1.837115927669049e-002	4.991415e+000
1.837215927669049e-002	4.991419e+000
1.851830213383350e-002	4.991990e+000
1.866444499097650e-002	4.992529e+000
1.881058784811950e-002	4.993034e+000
1.895673070526251e-002	4.993507e+000
1.910287356240551e-002	4.993947e+000
1.924901641954851e-002	4.994354e+000
1.939515927669152e-002	4.994728e+000
1.939615927669152e-002	4.994731e+000
1.954230213383452e-002	4.995081e+000
1.968844499097752e-002	4.995412e+000
1.983458784812053e-002	4.995722e+000
1.998073070526353e-002	4.996013e+000
2.012687356240654e-002	4.996283e+000
2.027301641954954e-002	4.996533e+000
2.041915927669254e-002	4.996763e+000
2.042015927669254e-002	4.996764e+000
2.056630213383555e-002	4.996980e+000
2.071244499097855e-002	4.997183e+000
2.085858784812155e-002	4.997373e+000
2.100473070526455e-002	4.997551e+000
2.115087356240756e-002	4.997717e+000
2.129701641955056e-002	4.997871e+000
2.144315927669356e-002	4.998012e+000
2.144415927669357e-002	4.998013e+000
2.159030213383657e-002	4.998145e+000
2.173644499097957e-002	4.998270e+000
2.188258784812257e-002	4.998387e+000
2.202873070526558e-002	4.998496e+000
2.217487356240858e-002	4.998598e+000
2.232101641955158e-002	4.998693e+000
2.246715927669459e-002	4.998779e+000
2.246815927669459e-002	4.998780e+000
2.261430213383759e-002	4.998861e+000
2.276044499098059e-002	4.998938e+000
2.290658784812360e-002	4.999009e+000
2.305273070526660e-002	4.999077e+000
2.319887356240961e-002	4.999139e+000
2.334501641955261e-002	4.999197e+000
2.349115927669561e-002	4.999250e+000
2.349215927669561e-002	4.999251e+000
2.363830213383862e-002	4.999301e+000
2.378444499098162e-002	4.999348e+000
2.393058784812462e-002	4.999392e+000
2.407673070526763e-002	4.999433e+000
2.422287356241063e-002	4.999471e+000
2.436901641955363e-002	4.999507e+000
2.451515927669664e-002	4.999540e+000
2.451615927669664e-002	4.999540e+000
2.458501641955385e-002	4.999555e+000
2.465387356241106e-002	4.999569e+000
2.472273070526827e-002	4.999583e+000
2.479158784812548e-002	4.999596e+000
2.486044499098269e-002	4.999609e+000
2.492930213383991e-002	4.999622e+000
2.499815927669712e-002	4.999634e+000
2.499915927669712e-002	4.999634e+000
2.500000000000000e-002	4.999635e+000
