time	V(A,C)
0.000000000000000e+000	0.000000e+000
1.006310719994777e-003	0.000000e+000
2.030310719994708e-003	0.000000e+000
3.054310719994844e-003	0.000000e+000
4.078310719994979e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000001428571429e-003	7.142857e-001
5.000002857142858e-003	1.428571e+000
5.000004285714286e-003	2.142857e+000
5.000005714285714e-003	2.857143e+000
5.000007142857143e-003	3.571428e+000
5.000008571428571e-003	4.285714e+000
5.000010000000000e-003	5.000000e+000
5.060159276693119e-003	4.995991e+000
5.206302133835996e-003	4.986266e+000
5.352444990978872e-003	4.976559e+000
5.498587848121748e-003	4.966871e+000
5.644730705264625e-003	4.957202e+000
5.790873562407502e-003	4.947552e+000
5.937016419550379e-003	4.937921e+000
6.083159276693255e-003	4.928309e+000
6.084159276693255e-003	4.928243e+000
6.230302133836132e-003	4.918649e+000
6.376444990979008e-003	4.909074e+000
6.522587848121884e-003	4.899518e+000
6.668730705264761e-003	4.889980e+000
6.814873562407638e-003	4.880461e+000
6.961016419550515e-003	4.870960e+000
7.107159276693391e-003	4.861478e+000
7.108159276693391e-003	4.861414e+000
7.254302133836228e-003	4.851950e+000
7.400444990979065e-003	4.842505e+000
7.546587848121902e-003	4.833078e+000
7.692730705264739e-003	4.823670e+000
7.838873562407577e-003	4.814280e+000
7.985016419550413e-003	4.804908e+000
8.131159276693251e-003	4.795554e+000
8.132159276693250e-003	4.795491e+000
8.278302133835999e-003	4.786155e+000
8.424444990978750e-003	4.776838e+000
8.570587848121499e-003	4.767539e+000
8.716730705264249e-003	4.758259e+000
8.862873562407000e-003	4.748996e+000
9.009016419549749e-003	4.739751e+000
9.155159276692498e-003	4.730525e+000
9.156159276692498e-003	4.730462e+000
9.302302133835247e-003	4.721253e+000
9.448444990977998e-003	4.712062e+000
9.594587848120747e-003	4.702890e+000
9.740730705263496e-003	4.693735e+000
9.886873562406248e-003	4.684598e+000
1.003301641954900e-002	4.675478e+000
1.017915927669175e-002	4.666377e+000
1.018015927669175e-002	4.666315e+000
1.032630213383450e-002	4.657231e+000
1.047244499097725e-002	4.648165e+000
1.061858784812000e-002	4.639117e+000
1.076473070526274e-002	4.630086e+000
1.091087356240550e-002	4.621073e+000
1.105701641954824e-002	4.612077e+000
1.120315927669099e-002	4.603099e+000
1.120415927669099e-002	4.603038e+000
1.135030213383374e-002	4.594077e+000
1.149644499097649e-002	4.585134e+000
1.164258784811924e-002	4.576209e+000
1.178873070526199e-002	4.567300e+000
1.193487356240474e-002	4.558409e+000
1.208101641954749e-002	4.549536e+000
1.222715927669024e-002	4.540679e+000
1.222815927669024e-002	4.540619e+000
1.237430213383299e-002	4.531780e+000
1.252044499097574e-002	4.522958e+000
1.266658784811849e-002	4.514154e+000
1.281273070526124e-002	4.505366e+000
1.295887356240399e-002	4.496596e+000
1.310501641954674e-002	4.487843e+000
1.325115927668949e-002	4.479106e+000
1.325215927668949e-002	4.479047e+000
1.339830213383224e-002	4.470328e+000
1.354444499097499e-002	4.461626e+000
1.369058784811774e-002	4.452940e+000
1.383673070526049e-002	4.444272e+000
1.398287356240324e-002	4.435621e+000
1.412901641954599e-002	4.426986e+000
1.427515927668874e-002	4.418369e+000
1.427615927668874e-002	4.418310e+000
1.442230213383149e-002	4.409709e+000
1.456844499097424e-002	4.401125e+000
1.471458784811699e-002	4.392557e+000
1.486073070525974e-002	4.384007e+000
1.500687356240249e-002	4.375473e+000
1.515301641954524e-002	4.366955e+000
1.529915927668799e-002	4.358454e+000
1.530015927668798e-002	4.358396e+000
1.544630213383091e-002	4.349912e+000
1.559244499097383e-002	4.341445e+000
1.573858784811675e-002	4.332993e+000
1.588473070525968e-002	4.324559e+000
1.603087356240260e-002	4.316140e+000
1.617701641954552e-002	4.307738e+000
1.632315927668844e-002	4.299353e+000
1.632415927668844e-002	4.299296e+000
1.647030213383145e-002	4.290927e+000
1.661644499097445e-002	4.282574e+000
1.676258784811745e-002	4.274237e+000
1.690873070526046e-002	4.265917e+000
1.705487356240346e-002	4.257613e+000
1.720101641954646e-002	4.249325e+000
1.734715927668947e-002	4.241053e+000
1.734815927668947e-002	4.240996e+000
1.749430213383247e-002	4.232741e+000
1.764044499097547e-002	4.224501e+000
1.778658784811848e-002	4.216278e+000
1.793273070526148e-002	4.208070e+000
1.807887356240449e-002	4.199879e+000
1.822501641954749e-002	4.191703e+000
1.837115927669049e-002	4.183544e+000
1.837215927669049e-002	4.183488e+000
1.851830213383350e-002	4.175344e+000
1.866444499097650e-002	4.167217e+000
1.881058784811950e-002	4.159105e+000
1.895673070526251e-002	4.151008e+000
1.910287356240551e-002	4.142928e+000
1.924901641954851e-002	4.134863e+000
1.939515927669152e-002	4.126814e+000
1.939615927669152e-002	4.126759e+000
1.954230213383452e-002	4.118726e+000
1.968844499097752e-002	4.110709e+000
1.983458784812053e-002	4.102707e+000
1.998073070526353e-002	4.094720e+000
2.012687356240654e-002	4.086750e+000
2.027301641954954e-002	4.078794e+000
2.041915927669254e-002	4.070855e+000
2.042015927669254e-002	4.070800e+000
2.056630213383555e-002	4.062876e+000
2.071244499097855e-002	4.054967e+000
2.085858784812155e-002	4.047074e+000
2.100473070526455e-002	4.039196e+000
2.115087356240756e-002	4.031333e+000
2.129701641955056e-002	4.023486e+000
2.144315927669356e-002	4.015654e+000
2.144415927669357e-002	4.015600e+000
2.159030213383657e-002	4.007784e+000
2.173644499097957e-002	3.999982e+000
2.188258784812257e-002	3.992196e+000
2.202873070526558e-002	3.984424e+000
2.217487356240858e-002	3.976668e+000
2.232101641955158e-002	3.968927e+000
2.246715927669459e-002	3.961202e+000
2.246815927669459e-002	3.961149e+000
2.261430213383759e-002	3.953438e+000
2.276044499098059e-002	3.945742e+000
2.290658784812360e-002	3.938062e+000
2.305273070526660e-002	3.930396e+000
2.319887356240961e-002	3.922745e+000
2.334501641955261e-002	3.915109e+000
2.349115927669561e-002	3.907488e+000
2.349215927669561e-002	3.907436e+000
2.363830213383862e-002	3.899830e+000
2.378444499098162e-002	3.892238e+000
2.393058784812462e-002	3.884662e+000
2.407673070526763e-002	3.877100e+000
2.422287356241063e-002	3.869553e+000
2.436901641955363e-002	3.862020e+000
2.451515927669664e-002	3.854503e+000
2.451615927669664e-002	3.854451e+000
2.466230213383964e-002	3.846949e+000
2.480844499098264e-002	3.839460e+000
2.495458784812565e-002	3.831986e+000
2.510073070526865e-002	3.824527e+000
2.524687356241166e-002	3.817082e+000
2.539301641955466e-002	3.809652e+000
2.553915927669766e-002	3.802236e+000
2.554015927669766e-002	3.802186e+000
2.568630213384067e-002	3.794784e+000
2.583244499098367e-002	3.787398e+000
2.597858784812667e-002	3.780025e+000
2.612473070526968e-002	3.772667e+000
2.627087356241268e-002	3.765323e+000
2.641701641955568e-002	3.757994e+000
2.656315927669868e-002	3.750679e+000
2.656415927669869e-002	3.750629e+000
2.671030213384169e-002	3.743328e+000
2.685644499098469e-002	3.736041e+000
2.700258784812770e-002	3.728769e+000
2.714873070527070e-002	3.721510e+000
2.729487356241370e-002	3.714266e+000
2.744101641955670e-002	3.707036e+000
2.758715927669971e-002	3.699820e+000
2.758815927669971e-002	3.699771e+000
2.773430213384271e-002	3.692569e+000
2.788044499098571e-002	3.685381e+000
2.802658784812872e-002	3.678207e+000
2.817273070527172e-002	3.671048e+000
2.831887356241473e-002	3.663902e+000
2.846501641955773e-002	3.656770e+000
2.861115927670073e-002	3.649652e+000
2.861215927670073e-002	3.649603e+000
2.875830213384374e-002	3.642499e+000
2.890444499098674e-002	3.635409e+000
2.905058784812974e-002	3.628332e+000
2.919673070527275e-002	3.621269e+000
2.934287356241575e-002	3.614220e+000
2.948901641955875e-002	3.607185e+000
2.963515927670176e-002	3.600163e+000
2.963615927670176e-002	3.600115e+000
2.978230213384476e-002	3.593108e+000
2.992844499098776e-002	3.586114e+000
3.007458784813077e-002	3.579133e+000
3.022073070527377e-002	3.572166e+000
3.036687356241678e-002	3.565213e+000
3.051301641955978e-002	3.558273e+000
3.065915927670278e-002	3.551347e+000
3.066015927670278e-002	3.551299e+000
3.080630213384579e-002	3.544386e+000
3.095244499098879e-002	3.537487e+000
3.109858784813179e-002	3.530601e+000
3.124473070527479e-002	3.523729e+000
3.139087356241779e-002	3.516870e+000
3.153701641956080e-002	3.510024e+000
3.168315927670380e-002	3.503192e+000
3.168415927670380e-002	3.503145e+000
3.183030213384681e-002	3.496326e+000
3.197644499098981e-002	3.489520e+000
3.212258784813282e-002	3.482728e+000
3.226873070527581e-002	3.475949e+000
3.241487356241882e-002	3.469182e+000
3.256101641956182e-002	3.462429e+000
3.270715927670483e-002	3.455690e+000
3.270815927670483e-002	3.455644e+000
3.285430213384783e-002	3.448917e+000
3.300044499099084e-002	3.442204e+000
3.314658784813384e-002	3.435504e+000
3.329273070527684e-002	3.428816e+000
3.343887356241984e-002	3.422142e+000
3.358501641956285e-002	3.415481e+000
3.373115927670585e-002	3.408832e+000
3.373215927670585e-002	3.408787e+000
3.387830213384886e-002	3.402152e+000
3.402444499099186e-002	3.395529e+000
3.417058784813486e-002	3.388920e+000
3.431673070527786e-002	3.382323e+000
3.446287356242087e-002	3.375739e+000
3.460901641956387e-002	3.369168e+000
3.475515927670687e-002	3.362610e+000
3.475615927670687e-002	3.362566e+000
3.490230213384988e-002	3.356020e+000
3.504844499099288e-002	3.349488e+000
3.519458784813589e-002	3.342968e+000
3.534073070527889e-002	3.336461e+000
3.548687356242189e-002	3.329966e+000
3.563301641956489e-002	3.323484e+000
3.577915927670790e-002	3.317015e+000
3.578015927670790e-002	3.316971e+000
3.592630213385090e-002	3.310515e+000
3.607244499099391e-002	3.304071e+000
3.621858784813691e-002	3.297639e+000
3.636473070527991e-002	3.291220e+000
3.651087356242291e-002	3.284814e+000
3.665701641956592e-002	3.278420e+000
