time	I(L1)
0.000000000000000e+000	8.331931e-001
1.999999992008394e-011	8.331931e-001
7.999999968033578e-011	8.331931e-001
3.199999987213431e-010	8.331931e-001
1.006310719994777e-003	8.331931e-001
2.030310719994708e-003	8.331931e-001
3.054310719994844e-003	8.331931e-001
4.078310719994979e-003	8.331931e-001
5.000000000000000e-003	8.331931e-001
5.000007500000001e-003	8.331931e-001
5.000007750000000e-003	8.331931e-001
5.000007812500000e-003	8.331931e-001
5.000007937500000e-003	8.331931e-001
5.000008187500000e-003	8.331931e-001
5.000008687500000e-003	8.331930e-001
5.000009000000001e-003	8.331930e-001
5.000009374999999e-003	8.331930e-001
5.000010000000000e-003	8.331930e-001
5.058033937502407e-003	8.324313e-001
5.204176794645284e-003	8.304242e-001
5.350319651788161e-003	8.282967e-001
5.496462508931037e-003	8.260488e-001
5.642605366073914e-003	8.236803e-001
5.788748223216790e-003	8.211914e-001
5.934891080359667e-003	8.185820e-001
6.081033937502543e-003	8.158521e-001
6.082033937502543e-003	8.158330e-001
6.228176794645420e-003	8.129848e-001
6.374319651788297e-003	8.100227e-001
6.520462508931173e-003	8.069467e-001
6.666605366074050e-003	8.037567e-001
6.812748223216926e-003	8.004528e-001
6.958891080359803e-003	7.970350e-001
7.105033937502679e-003	7.935033e-001
7.106033937502679e-003	7.934788e-001
8.130033937502539e-003	7.657073e-001
9.154033937501787e-003	7.328888e-001
1.017803393750104e-002	6.954215e-001
1.120203393750028e-002	6.537275e-001
1.222603393749953e-002	6.082489e-001
1.325003393749878e-002	5.594439e-001
1.427403393749803e-002	5.077826e-001
1.529803393749727e-002	4.537436e-001
1.632203393749773e-002	3.978094e-001
1.734603393749876e-002	3.404632e-001
1.837003393749978e-002	2.821845e-001
1.939403393750080e-002	2.234465e-001
2.041803393750183e-002	1.647118e-001
2.144203393750285e-002	1.064294e-001
2.246603393750388e-002	4.903204e-002
2.259389108036115e-002	4.194638e-002
2.272174822321842e-002	3.488370e-002
2.284960536607569e-002	2.784399e-002
2.297746250893296e-002	2.082725e-002
2.310531965179023e-002	1.383348e-002
2.323317679464750e-002	6.862688e-003
2.336103393750477e-002	-8.513469e-005
2.349003393750490e-002	-7.067170e-003
2.363617679464791e-002	-1.494726e-002
2.378231965179091e-002	-2.278911e-002
2.392846250893391e-002	-3.059272e-002
2.407460536607691e-002	-3.835809e-002
2.422074822321992e-002	-4.608523e-002
2.436689108036292e-002	-5.377412e-002
2.451303393750592e-002	-6.142478e-002
2.451403393750593e-002	-6.147697e-002
2.466017679464893e-002	-6.908525e-002
2.480631965179193e-002	-7.664807e-002
2.495246250893493e-002	-8.416545e-002
2.509860536607794e-002	-9.163737e-002
2.524474822322094e-002	-9.906385e-002
2.539089108036394e-002	-1.064449e-001
2.553703393750695e-002	-1.137804e-001
2.553803393750695e-002	-1.138304e-001
2.656203393750797e-002	-1.637871e-001
2.758603393750900e-002	-2.110348e-001
2.861003393751002e-002	-2.552910e-001
2.963403393751105e-002	-2.963045e-001
3.065803393751207e-002	-3.338562e-001
3.168203393751309e-002	-3.677596e-001
3.270603393751412e-002	-3.978619e-001
3.373003393751514e-002	-4.240437e-001
3.475403393751617e-002	-4.462189e-001
3.577803393751719e-002	-4.643348e-001
3.680203393751821e-002	-4.783711e-001
3.782603393751924e-002	-4.883394e-001
3.885003393752026e-002	-4.942821e-001
3.987403393752129e-002	-4.962710e-001
4.089803393752231e-002	-4.944062e-001
4.101774822323671e-002	-4.939415e-001
4.113746250895112e-002	-4.934267e-001
4.125717679466553e-002	-4.928618e-001
4.137689108037993e-002	-4.922467e-001
4.149660536609433e-002	-4.915814e-001
4.161631965180875e-002	-4.908660e-001
4.173603393752315e-002	-4.901005e-001
4.192203393752333e-002	-4.888142e-001
4.206817679466634e-002	-4.877195e-001
4.221431965180934e-002	-4.865537e-001
4.236046250895235e-002	-4.853167e-001
4.250660536609534e-002	-4.840085e-001
4.265274822323835e-002	-4.826293e-001
4.279889108038135e-002	-4.811788e-001
4.294503393752436e-002	-4.796573e-001
4.294603393752436e-002	-4.796466e-001
4.309217679466736e-002	-4.780552e-001
4.323831965181037e-002	-4.763963e-001
4.338446250895337e-002	-4.746701e-001
4.353060536609637e-002	-4.728765e-001
4.367674822323937e-002	-4.710156e-001
4.382289108038238e-002	-4.690873e-001
4.396903393752538e-002	-4.670916e-001
4.397003393752538e-002	-4.670777e-001
4.499403393752641e-002	-4.513027e-001
4.601803393752743e-002	-4.325358e-001
4.704203393752846e-002	-4.110077e-001
4.806603393752948e-002	-3.869636e-001
4.909003393753050e-002	-3.606607e-001
5.011403393753153e-002	-3.323660e-001
5.113803393753255e-002	-3.023541e-001
5.216203393753358e-002	-2.709045e-001
5.318603393753460e-002	-2.382997e-001
5.421003393753562e-002	-2.048227e-001
5.523403393753665e-002	-1.707550e-001
5.625803393753767e-002	-1.363744e-001
5.728203393753870e-002	-1.019529e-001
5.830603393753972e-002	-6.775517e-002
5.933003393754074e-002	-3.403606e-002
5.947617679468375e-002	-2.927546e-002
5.962231965182675e-002	-2.453197e-002
5.976846250896976e-002	-1.980561e-002
5.991460536611275e-002	-1.509637e-002
6.006074822325576e-002	-1.040425e-002
6.020689108039876e-002	-5.729257e-003
6.035303393754177e-002	-1.071383e-003
6.035403393754177e-002	-1.039588e-003
6.039017679468466e-002	1.089612e-004
6.042631965182756e-002	1.256287e-003
6.046246250897045e-002	2.402388e-003
6.049860536611334e-002	3.547265e-003
6.053474822325623e-002	4.690917e-003
6.057089108039913e-002	5.833345e-003
6.060703393754202e-002	6.974549e-003
6.071703393754213e-002	1.044059e-002
6.082703393754224e-002	1.389403e-002
6.093703393754235e-002	1.733487e-002
6.104703393754246e-002	2.076310e-002
6.115703393754257e-002	2.417874e-002
